ID,Year,Month,Region,POE,Crossing,Modes,Northbound Crossing
200911Ysleta BridgeTrucks,2009,11,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,27692
200911Ysleta BridgePOVs,2009,11,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,163639
200911Ysleta BridgePedestrians,2009,11,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,96271
200911Ysleta BridgeRailcars,2009,11,El Paso,Ysleta,Ysleta Bridge,Railcars,0
200911Del Rio International BridgeBuses,2009,11,Laredo,Del Rio,Del Rio International Bridge,Buses,0
200911Del Rio International BridgeTrucks,2009,11,Laredo,Del Rio,Del Rio International Bridge,Commercial Trucks,4372
200911Del Rio International BridgePOVs,2009,11,Laredo,Del Rio,Del Rio International Bridge,Passenger Vehicles,103738
200911Del Rio International BridgePedestrians,2009,11,Laredo,Del Rio,Del Rio International Bridge,Pedestrians/ Bicyclists,5407
200911Del Rio International BridgeRailcars,2009,11,Laredo,Del Rio,Del Rio International Bridge,Railcars,0
200911Lake Amistad Dam CrossingBuses,2009,11,Laredo,Del Rio,Lake Amistad Dam Crossing,Buses,0
200911Lake Amistad Dam CrossingTrucks,2009,11,Laredo,Del Rio,Lake Amistad Dam Crossing,Commercial Trucks,0
200911Lake Amistad Dam CrossingPOVs,2009,11,Laredo,Del Rio,Lake Amistad Dam Crossing,Passenger Vehicles,3245
200911Lake Amistad Dam CrossingPedestrians,2009,11,Laredo,Del Rio,Lake Amistad Dam Crossing,Pedestrians/ Bicyclists,0
200911Lake Amistad Dam CrossingRailcars,2009,11,Laredo,Del Rio,Lake Amistad Dam Crossing,Railcars,0
200911Camino Real International BridgeBuses,2009,11,Laredo,Eagle Pass,Camino Real International Bridge,Buses,80
200911Camino Real International BridgeTrucks,2009,11,Laredo,Eagle Pass,Camino Real International Bridge,Commercial Trucks,7216
200911Camino Real International BridgePOVs,2009,11,Laredo,Eagle Pass,Camino Real International Bridge,Passenger Vehicles,118663
200911Camino Real International BridgePedestrians,2009,11,Laredo,Eagle Pass,Camino Real International Bridge,Pedestrians/ Bicyclists,8721
200911Camino Real International BridgeRailcars,2009,11,Laredo,Eagle Pass,Camino Real International Bridge,Railcars,0
200911Eagle Pass International BridgeBuses,2009,11,Laredo,Eagle Pass,Eagle Pass International Bridge,Buses,0
200911Eagle Pass International BridgeTrucks,2009,11,Laredo,Eagle Pass,Eagle Pass International Bridge,Commercial Trucks,0
200911Eagle Pass International BridgePOVs,2009,11,Laredo,Eagle Pass,Eagle Pass International Bridge,Passenger Vehicles,94876
200911Eagle Pass International BridgePedestrians,2009,11,Laredo,Eagle Pass,Eagle Pass International Bridge,Pedestrians/ Bicyclists,49240
200911Eagle Pass International BridgeRailcars,2009,11,Laredo,Eagle Pass,Eagle Pass International Bridge,Railcars,0
200911Union Pacific Eagle Pass Railroad BridgeBuses,2009,11,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Buses,0
200911Union Pacific Eagle Pass Railroad BridgeTrucks,2009,11,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Commercial Trucks,0
200911Union Pacific Eagle Pass Railroad BridgePOVs,2009,11,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Passenger Vehicles,0
200911Union Pacific Eagle Pass Railroad BridgePedestrians,2009,11,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Pedestrians/ Bicyclists,0
200911Union Pacific Eagle Pass Railroad BridgeRailcars,2009,11,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Railcars,12977
200911Canadian Pacific Kansas City Laredo Railroad BridgeBuses,2009,11,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Buses,0
200911Canadian Pacific Kansas City Laredo Railroad BridgeTrucks,2009,11,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Commercial Trucks,0
200911Canadian Pacific Kansas City Laredo Railroad BridgePOVs,2009,11,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Passenger Vehicles,0
200911Canadian Pacific Kansas City Laredo Railroad BridgePedestrians,2009,11,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Pedestrians/ Bicyclists,0
200911Canadian Pacific Kansas City Laredo Railroad BridgeRailcars,2009,11,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Railcars,26519
200911Colombia Solidarity BridgeBuses,2009,11,Laredo,Laredo,Colombia Solidarity Bridge,Buses,1
200911Colombia Solidarity BridgeTrucks,2009,11,Laredo,Laredo,Colombia Solidarity Bridge,Commercial Trucks,24294
200911Colombia Solidarity BridgePOVs,2009,11,Laredo,Laredo,Colombia Solidarity Bridge,Passenger Vehicles,24034
200911Colombia Solidarity BridgePedestrians,2009,11,Laredo,Laredo,Colombia Solidarity Bridge,Pedestrians/ Bicyclists,636
200911Colombia Solidarity BridgeRailcars,2009,11,Laredo,Laredo,Colombia Solidarity Bridge,Railcars,0
200911Gateway to the Americas BridgeBuses,2009,11,Laredo,Laredo,Gateway to the Americas Bridge,Buses,0
200911Gateway to the Americas BridgeTrucks,2009,11,Laredo,Laredo,Gateway to the Americas Bridge,Commercial Trucks,0
200911Gateway to the Americas BridgePOVs,2009,11,Laredo,Laredo,Gateway to the Americas Bridge,Passenger Vehicles,75208
200911Gateway to the Americas BridgePedestrians,2009,11,Laredo,Laredo,Gateway to the Americas Bridge,Pedestrians/ Bicyclists,356168
200911Gateway to the Americas BridgeRailcars,2009,11,Laredo,Laredo,Gateway to the Americas Bridge,Railcars,0
200911Juárez-Lincoln International BridgeBuses,2009,11,Laredo,Laredo,Juárez-Lincoln International Bridge,Buses,3711
200911Juárez-Lincoln International BridgeTrucks,2009,11,Laredo,Laredo,Juárez-Lincoln International Bridge,Commercial Trucks,0
200911Juárez-Lincoln International BridgePOVs,2009,11,Laredo,Laredo,Juárez-Lincoln International Bridge,Passenger Vehicles,375249
200911Juárez-Lincoln International BridgePedestrians,2009,11,Laredo,Laredo,Juárez-Lincoln International Bridge,Pedestrians/ Bicyclists,0
200911Juárez-Lincoln International BridgeRailcars,2009,11,Laredo,Laredo,Juárez-Lincoln International Bridge,Railcars,0
200911World Trade BridgeBuses,2009,11,Laredo,Laredo,World Trade Bridge,Buses,0
