ID,Year,Region,POE,Crossing,Modes,Northbound Crossing
2008-UNIO-Pedestrians,2008,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Pedestrians/ Bicyclists,0
2008-UNIO-Railcars,2008,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Railcars,129794
2008-CANA-Buses,2008,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Buses,0
2008-CANA-Trucks,2008,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Commercial Trucks,0
2008-CANA-POVs,2008,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Passenger Vehicles,0
2008-CANA-Pedestrians,2008,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Pedestrians/ Bicyclists,0
2008-CANA-Railcars,2008,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Railcars,293646
2008-COLO-Buses,2008,Laredo,Laredo,Colombia Solidarity Bridge,Buses,6
2008-COLO-Trucks,2008,Laredo,Laredo,Colombia Solidarity Bridge,Commercial Trucks,392697
2008-COLO-POVs,2008,Laredo,Laredo,Colombia Solidarity Bridge,Passenger Vehicles,393926
2008-COLO-Pedestrians,2008,Laredo,Laredo,Colombia Solidarity Bridge,Pedestrians/ Bicyclists,15178
2008-COLO-Railcars,2008,Laredo,Laredo,Colombia Solidarity Bridge,Railcars,0
2008-GTAB-Buses,2008,Laredo,Laredo,Gateway to the Americas Bridge,Buses,0
2008-GTAB-Trucks,2008,Laredo,Laredo,Gateway to the Americas Bridge,Commercial Trucks,0
2008-GTAB-POVs,2008,Laredo,Laredo,Gateway to the Americas Bridge,Passenger Vehicles,1206120
2008-GTAB-Pedestrians,2008,Laredo,Laredo,Gateway to the Americas Bridge,Pedestrians/ Bicyclists,3781663
2008-GTAB-Railcars,2008,Laredo,Laredo,Gateway to the Americas Bridge,Railcars,0
2008-JUAR-Buses,2008,Laredo,Laredo,Juárez-Lincoln International Bridge,Buses,39116
2008-JUAR-Trucks,2008,Laredo,Laredo,Juárez-Lincoln International Bridge,Commercial Trucks,0
2008-JUAR-POVs,2008,Laredo,Laredo,Juárez-Lincoln International Bridge,Passenger Vehicles,4505080
2008-JUAR-Pedestrians,2008,Laredo,Laredo,Juárez-Lincoln International Bridge,Pedestrians/ Bicyclists,0
2008-JUAR-Railcars,2008,Laredo,Laredo,Juárez-Lincoln International Bridge,Railcars,0
2008-WORL-Buses,2008,Laredo,Laredo,World Trade Bridge,Buses,0
2008-WORL-Trucks,2008,Laredo,Laredo,World Trade Bridge,Commercial Trucks,1162500
2008-WORL-POVs,2008,Laredo,Laredo,World Trade Bridge,Passenger Vehicles,0
2008-WORL-Pedestrians,2008,Laredo,Laredo,World Trade Bridge,Pedestrians/ Bicyclists,77031
2008-WORL-Railcars,2008,Laredo,Laredo,World Trade Bridge,Railcars,0
2008-BROW-Buses,2008,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Buses,0
2008-BROW-Trucks,2008,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Commercial Trucks,0
2008-BROW-POVs,2008,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Passenger Vehicles,2332136
2008-BROW-Pedestrians,2008,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Pedestrians/ Bicyclists,617536
2008-BROW-Railcars,2008,Rio Grande Valley,Brownsville,Brownsville & Matamoros Express Bridge,Railcars,0
2008-FREE-Buses,2008,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Buses,60
2008-FREE-Trucks,2008,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Commercial Trucks,36068
2008-FREE-POVs,2008,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Passenger Vehicles,772372
2008-FREE-Pedestrians,2008,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Pedestrians/ Bicyclists,2361
2008-FREE-Railcars,2008,Rio Grande Valley,Brownsville,Free Trade International Bridge (Los Indios),Railcars,0
2008-GATE-Buses,2008,Rio Grande Valley,Brownsville,Gateway International Bridge,Buses,2
2008-GATE-Trucks,2008,Rio Grande Valley,Brownsville,Gateway International Bridge,Commercial Trucks,0
2008-GATE-POVs,2008,Rio Grande Valley,Brownsville,Gateway International Bridge,Passenger Vehicles,1779386
2008-GATE-Pedestrians,2008,Rio Grande Valley,Brownsville,Gateway International Bridge,Pedestrians/ Bicyclists,1989465
2008-GATE-Railcars,2008,Rio Grande Valley,Brownsville,Gateway International Bridge,Railcars,0
