Year,Month,Region,POE,Crossing,Modes,Northbound Crossing,source
2025,2,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,2274,ELP_pdf
2025,2,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,163,ELP_pdf
2025,2,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,747,ELP_pdf
2025,2,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,53522,ELP_pdf
2025,2,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,11382,ELP_pdf
2025,2,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,2,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,49937,ELP_pdf
2025,2,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,294173,ELP_pdf
2025,2,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,142996,ELP_pdf
2025,3,El Paso,El Paso,Bridge of the Americas,Buses,883,ELP_pdf
2025,3,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,12879,ELP_pdf
2025,3,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,303107,ELP_pdf
2025,3,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,94696,ELP_pdf
2025,3,El Paso,El Paso,El Paso Railroad Bridges,Railcars,7948,ELP_pdf
2025,3,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,3,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,3,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,146061,ELP_pdf
2025,3,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,3,El Paso,El Paso,Paso del Norte Bridge,Buses,337,ELP_pdf
2025,3,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,3,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,216309,ELP_pdf
2025,3,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,298018,ELP_pdf
2025,3,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,3,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,3,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,9901,ELP_pdf
2025,3,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,159,ELP_pdf
2025,3,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,3,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,2241,ELP_pdf
2025,3,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,51113,ELP_pdf
2025,3,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,3948,ELP_pdf
2025,3,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,3,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,3,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
